YEAR,DANE_sede,MATEMATICAS_PUNT,x,y,students
2007,105001000621,46.42623188405795,-75.548325,6.2537227,138
2008,105001000621,44.19232000000002,-75.548325,6.2537227,125
2009,105001000621,45.49060869565214,-75.548325,6.2537227,115
2010,105001000621,46.15057553956839,-75.548325,6.2537227,139
2011,105001000621,49.61940298507463,-75.548325,6.2537227,134
2012,105001000621,49.50476190476191,-75.548325,6.2537227,105
2013,105001000621,48.02752293577981,-75.548325,6.2537227,109
2004,105001000795,40.61183857095653,-75.573692,6.2962632,87
2005,105001000795,44.08325023651123,-75.573692,6.2962632,120
2006,105001000795,42.52219999999998,-75.573692,6.2962632,150
2007,105001000795,43.12078014184397,-75.573692,6.2962632,141
2008,105001000795,43.49104166666669,-75.573692,6.2962632,96
2009,105001000795,41.26058333333331,-75.573692,6.2962632,120
2010,105001000795,41.13450000000001,-75.573692,6.2962632,140
2011,105001000795,41.98181818181818,-75.573692,6.2962632,110
2012,105001000795,41.25252525252525,-75.573692,6.2962632,99
2013,105001000795,42.74725274725274,-75.573692,6.2962632,91
2004,105001000868,41.08333276112874,-75.614502,6.2347651,30
2005,105001000868,38.96947419015985,-75.614502,6.2347651,19
2006,105001000868,44.24485714285716,-75.614502,6.2347651,35
2007,105001000868,40.59096153846156,-75.614502,6.2347651,52
2008,105001000868,42.23561403508771,-75.614502,6.2347651,57
2009,105001000868,39.52355932203391,-75.614502,6.2347651,59
2010,105001000868,41.95064516129034,-75.614502,6.2347651,62
2011,105001000868,42.20689655172414,-75.614502,6.2347651,58
2012,105001000868,43.74358974358974,-75.614502,6.2347651,39
2013,105001000868,43.66666666666666,-75.614502,6.2347651,51
2004,105001000876,39.45695611704951,-75.565208,6.2676029,46
2005,105001000876,43.55328380527781,-75.565208,6.2676029,67
2006,105001000876,45.53950819672133,-75.565208,6.2676029,61
2007,105001000876,44.47063829787236,-75.565208,6.2676029,94
2008,105001000876,44.57693069306931,-75.565208,6.2676029,101
2009,105001000876,43.28240875912407,-75.565208,6.2676029,137
2010,105001000876,43.44010101010102,-75.565208,6.2676029,99
2011,105001000876,43.53571428571428,-75.565208,6.2676029,112
2012,105001000876,43.59090909090909,-75.565208,6.2676029,88
2013,105001000876,45.19444444444444,-75.565208,6.2676029,72
2004,105001000931,41.63028519040062,-75.569153,6.3079247,105
2005,105001000931,45.01605303245678,-75.569153,6.3079247,114
2006,105001000931,46.01022556390974,-75.569153,6.3079247,133
2007,105001000931,47.16886699507382,-75.569153,6.3079247,203
2008,105001000931,45.15765306122452,-75.569153,6.3079247,196
2009,105001000931,44.83829113924049,-75.569153,6.3079247,158
2010,105001000931,46.10600000000001,-75.569153,6.3079247,205
2011,105001000931,48.7719298245614,-75.569153,6.3079247,171
2012,105001000931,46.28292682926829,-75.569153,6.3079247,205
2013,105001000931,45.7536231884058,-75.569153,6.3079247,138
2004,105001000981,40.08155860695788,-75.5625,6.2840261,186
2005,105001000981,44.25784717906605,-75.5625,6.2840261,209
2006,105001000981,45.17154185022019,-75.5625,6.2840261,227
